case_id,case_summary,created_at,channel,case_type,category,plan_tier,customer_tenure_months,priority
ND-2025-000630,hit rate limit on salesforce connector need increase,2025-04-09 09:00:00+00:00,in_app,incident,integrations,enterprise,42,High
ND-2025-000631,my widget is blank what steps to fix?,2025-04-09 11:25:00+00:00,email,service_request,how_to_training,free,3,Medium
ND-2025-000632,getting random 500 errors when saving polaris board,2025-04-09 14:05:00+00:00,webchat,incident,performance_outage,pro,20,Urgent
ND-2025-000633,how to invite a colleague to view only?,2025-04-10 08:20:00+00:00,email,service_request,access_permissions,standard,1,Low
ND-2025-000634,data time seems off is it utc or gmt?,2025-04-10 10:50:00+00:00,email,incident,data_reporting,pro,13,Medium
ND-2025-000635,how much is the enterprise tier?,2025-04-10 13:40:00+00:00,webchat,service_request,billing_payments,free,0,Low
ND-2025-000636,formal gdpr deletion request for user id 4452,2025-04-10 16:15:00+00:00,email,incident,security_privacy,enterprise,30,High
ND-2025-000637,since the update my charts are all squashed,2025-04-11 09:35:00+00:00,in_app,incident,bug,pro,18,High
ND-2025-000638,xero sync isn't working is xero down?,2025-04-11 11:10:00+00:00,email,service_request,integrations,standard,11,Medium
ND-2025-000639,explain difference between editor and admin roles,2025-04-11 14:30:00+00:00,webchat,service_request,how_to_training,pro,4,Low
ND-2025-000640,we were charged twice for april subscription,2025-04-12 10:00:00+00:00,email,incident,billing_payments,pro,25,High
ND-2025-000641,partnership opportunity with our consultancy,2025-04-12 12:45:00+00:00,email,service_request,other,free,0,Low
ND-2025-000642,account locked after too many attempts help,2025-04-13 09:15:00+00:00,in_app,incident,access_permissions,standard,7,Urgent
ND-2025-000643,system feels sluggish this afternoon,2025-04-13 14:25:00+00:00,webchat,incident,performance_outage,enterprise,33,Medium
ND-2025-000644,my colleague can't see the hr polaris board,2025-04-14 08:50:00+00:00,email,service_request,data_reporting,pro,14,Medium
ND-2025-000645,csv export is empty for the last week,2025-04-14 11:35:00+00:00,email,incident,bug,standard,21,High
ND-2025-000646,can't add user says seat limit reached,2025-04-14 15:00:00+00:00,phone,service_request,billing_payments,pro,9,Medium
ND-2025-000647,salesforce connector timing out on large syncs,2025-04-15 09:05:00+00:00,email,incident,integrations,enterprise,45,High
ND-2025-000648,are there video tutorials for advanced widgets?,2025-04-15 10:40:00+00:00,webchat,service_request,how_to_training,free,2,Low
ND-2025-000649,found a potential xss vulnerability in the profile page,2025-04-15 13:10:00+00:00,email,incident,security_privacy,standard,6,Urgent
ND-2025-000650,too many emails how do i turn them off?,2025-04-16 08:30:00+00:00,email,service_request,account_admin,pro,12,Low
ND-2025-000651,mobile app crashes on login every time,2025-04-16 11:00:00+00:00,webchat,incident,bug,pro,26,High
ND-2025-000652,data on the dashboard is 2 hours old why?,2025-04-16 14:45:00+00:00,in_app,service_request,data_reporting,standard,5,Medium
ND-2025-000653,json parsing error on custom api connector,2025-04-17 09:25:00+00:00,email,incident,integrations,pro,17,High
ND-2025-000654,how to create a stacked bar chart widget?,2025-04-17 12:15:00+00:00,webchat,service_request,how_to_training,standard,3,Medium
ND-2025-000655,requesting refund for the downtime last week,2025-04-17 15:30:00+00:00,email,incident,billing_payments,pro,38,Medium
ND-2025-000656,need to change user role from viewer to editor,2025-04-18 08:40:00+00:00,email,service_request,access_permissions,standard,8,Low
ND-2025-000657,nobody can log in via orbit id right now,2025-04-18 10:55:00+00:00,in_app,incident,performance_outage,enterprise,50,Urgent
ND-2025-000658,currency showing as usd instead of gbp on widget,2025-04-18 13:20:00+00:00,email,service_request,data_reporting,pro,14,Medium
ND-2025-000659,screen freezes when i click the export button,2025-04-19 09:50:00+00:00,webchat,incident,bug,standard,6,Medium
ND-2025-000660,test ignore please,2025-04-19 12:05:00+00:00,email,service_request,other,free,0,Low
ND-2025-000661,invoice address is incorrect need urgent fix,2025-04-19 14:40:00+00:00,email,incident,billing_payments,pro,22,High
ND-2025-000662,where do i configure the xero connector settings?,2025-04-20 08:10:00+00:00,webchat,service_request,how_to_training,standard,4,Medium
ND-2025-000663,oauth token keeps expiring for hubspot,2025-04-20 10:35:00+00:00,email,incident,integrations,enterprise,31,High
ND-2025-000664,what is the data retention policy for backups?,2025-04-20 13:00:00+00:00,in_app,service_request,account_admin,pro,10,Low
ND-2025-000665,northstar is completely down 503 error,2025-04-21 09:00:00+00:00,email,incident,performance_outage,enterprise,60,Urgent
ND-2025-000666,trying to verify domain for sso but failing,2025-04-21 11:15:00+00:00,webchat,service_request,access_permissions,standard,9,Medium
ND-2025-000667,typos in the new settings menu,2025-04-21 14:30:00+00:00,email,incident,bug,pro,15,Low
ND-2025-000668,can i change the color scheme of the polaris board?,2025-04-21 16:00:00+00:00,email,service_request,data_reporting,pro,18,Medium
ND-2025-000669,sync failed 3 times in a row for salesforce,2025-04-22 08:55:00+00:00,in_app,incident,integrations,enterprise,27,High
ND-2025-000670,help setting up my first polaris board,2025-04-22 10:20:00+00:00,webchat,service_request,how_to_training,free,2,Medium
ND-2025-000671,payment declined check details please,2025-04-22 13:40:00+00:00,email,incident,billing_payments,pro,13,High
ND-2025-000672,can we enforce mfa for all users?,2025-04-22 15:10:00+00:00,email,service_request,security_privacy,pro,24,Medium
ND-2025-000673,mobile app is stuck on loading screen,2025-04-23 09:15:00+00:00,phone,incident,bug,standard,11,Medium
ND-2025-000674,large csv export failing consistently,2025-04-23 11:30:00+00:00,email,service_request,data_reporting,enterprise,40,High
ND-2025-000675,tips for speeding up dashboard performance?,2025-04-23 14:00:00+00:00,webchat,service_request,how_to_training,standard,5,Low
ND-2025-000676,api responding with 403 forbidden,2025-04-23 16:20:00+00:00,email,incident,integrations,pro,20,High
ND-2025-000677,remove user david.j from the account,2025-04-24 08:45:00+00:00,email,service_request,account_admin,standard,7,Low
ND-2025-000678,very slow response times this morning,2025-04-24 10:55:00+00:00,in_app,incident,performance_outage,pro,35,High
ND-2025-000679,missing vat receipt for feb invoice,2025-04-24 13:30:00+00:00,email,service_request,billing_payments,pro,12,Low
ND-2025-000680,firefox not displaying the widget borders correctly,2025-04-24 15:15:00+00:00,webchat,incident,bug,free,3,Medium
ND-2025-000681,assistance required for azure ad sso integration,2025-04-25 09:10:00+00:00,email,service_request,access_permissions,enterprise,48,High
ND-2025-000682,data gap in the sales report for yesterday,2025-04-25 11:40:00+00:00,email,incident,data_reporting,pro,16,High
ND-2025-000683,do you offer discounts for non-profits?,2025-04-25 14:05:00+00:00,webchat,service_request,other,free,0,Low
ND-2025-000684,webhook endpoints returning 500 errors,2025-04-26 08:20:00+00:00,email,incident,integrations,pro,22,High
ND-2025-000685,can viewers export data?,2025-04-26 10:30:00+00:00,in_app,service_request,how_to_training,standard,6,Low
ND-2025-000686,menu bar overlaps the content on small screens,2025-04-26 12:50:00+00:00,email,incident,bug,standard,10,Medium
ND-2025-000687,upgrade to enterprise quote please,2025-04-26 15:00:00+00:00,phone,service_request,billing_payments,pro,14,Medium
ND-2025-000688,session times out too quickly keeps logging me out,2025-04-27 09:35:00+00:00,email,incident,security_privacy,standard,9,Medium
ND-2025-000689,delete my account please,2025-04-27 11:45:00+00:00,webchat,service_request,account_admin,free,2,Low
ND-2025-000690,database query timeout on main dashboard,2025-04-27 14:10:00+00:00,email,incident,performance_outage,enterprise,30,Urgent
ND-2025-000691,field mapping is wrong for the custom connector,2025-04-28 08:50:00+00:00,email,service_request,integrations,standard,12,Medium
ND-2025-000692,any templates for saas kpis?,2025-04-28 10:25:00+00:00,in_app,service_request,how_to_training,free,4,Low
ND-2025-000693,404 page when clicking on the old report link,2025-04-28 12:40:00+00:00,email,incident,bug,standard,8,Low
ND-2025-000694,forgot password reset link not arriving,2025-04-28 15:00:00+00:00,webchat,service_request,access_permissions,standard,1,Medium
ND-2025-000695,double charged for the pro plan please refund,2025-04-29 09:05:00+00:00,email,incident,billing_payments,pro,20,High
ND-2025-000696,date filter isn't applying to all widgets,2025-04-29 11:15:00+00:00,email,service_request,data_reporting,pro,15,Medium
ND-2025-000697,salesforce is down is that affecting northstar?,2025-04-29 13:50:00+00:00,in_app,incident,integrations,enterprise,25,Medium
ND-2025-000698,video guide for connector setup?,2025-04-29 16:10:00+00:00,email,service_request,how_to_training,standard,3,Low
ND-2025-000699,unknown ip accessed admin account,2025-04-30 08:30:00+00:00,webchat,incident,security_privacy,enterprise,40,Urgent
ND-2025-000700,invoice amount is wrong for this month,2025-04-30 10:00:00+00:00,email,service_request,billing_payments,pro,10,Medium
ND-2025-000701,mobile view is completely broken,2025-04-30 11:45:00+00:00,in_app,incident,bug,pro,19,High
ND-2025-000702,inviting new user but email never arrives,2025-04-30 13:20:00+00:00,email,service_request,access_permissions,standard,5,Low
ND-2025-000703,widgets stuck on loading spinner,2025-04-30 15:00:00+00:00,webchat,incident,performance_outage,pro,28,Medium
ND-2025-000704,best way to group widgets?,2025-04-01 10:15:00+00:00,email,service_request,how_to_training,standard,6,Low
ND-2025-000705,api key rejected,2025-04-01 14:45:00+00:00,webchat,incident,integrations,enterprise,30,High
ND-2025-000706,need audit trail for login events,2025-04-02 09:25:00+00:00,in_app,service_request,account_admin,pro,15,Medium
ND-2025-000707,update broke my custom css,2025-04-02 13:00:00+00:00,email,incident,bug,standard,22,High
ND-2025-000708,upgrade to pro plan,2025-04-03 08:35:00+00:00,webchat,service_request,billing_payments,free,8,Low
ND-2025-000709,pdf export formatting is weird,2025-04-03 11:50:00+00:00,email,incident,data_reporting,pro,14,Medium
ND-2025-000710,locked out of account urgent,2025-04-04 15:20:00+00:00,phone,service_request,access_permissions,standard,3,Urgent
ND-2025-000711,dashboard very slow,2025-04-05 10:00:00+00:00,email,incident,performance_outage,enterprise,35,High
ND-2025-000712,seo services offer,2025-04-06 13:10:00+00:00,webchat,service_request,other,free,0,Low
ND-2025-000713,button misalignment on settings page,2025-04-07 09:40:00+00:00,in_app,incident,bug,pro,11,Medium
ND-2025-000714,configure shopify connector help,2025-04-08 12:30:00+00:00,email,service_request,how_to_training,standard,2,Low
ND-2025-000715,data not syncing from hubspot,2025-04-09 14:55:00+00:00,email,incident,integrations,pro,26,High
ND-2025-000716,need vat invoice for march,2025-04-10 08:15:00+00:00,webchat,service_request,billing_payments,pro,12,Low
ND-2025-000717,gdpr data request,2025-04-11 10:45:00+00:00,email,incident,security_privacy,standard,18,Medium
ND-2025-000718,pie chart legend is cut off,2025-04-12 13:25:00+00:00,in_app,service_request,data_reporting,pro,9,Medium
ND-2025-000719,app crashes on startup,2025-04-13 16:00:00+00:00,email,incident,bug,standard,21,High
ND-2025-000720,add new admin user,2025-04-14 09:00:00+00:00,webchat,service_request,account_admin,free,5,Low
ND-2025-000721,internal server error 500 on login,2025-04-15 11:20:00+00:00,email,incident,performance_outage,enterprise,45,Urgent
ND-2025-000722,widget showing no data help,2025-04-16 14:10:00+00:00,email,service_request,how_to_training,standard,7,Medium
ND-2025-000723,payment failed retry please,2025-04-17 08:50:00+00:00,in_app,incident,billing_payments,pro,15,High
ND-2025-000724,setting up xero connector,2025-04-18 12:00:00+00:00,webchat,service_request,integrations,standard,4,Medium
ND-2025-000725,ie11 display issues,2025-04-19 14:30:00+00:00,email,incident,bug,pro,10,Low
ND-2025-000726,change timezone to est,2025-04-20 09:15:00+00:00,email,service_request,data_reporting,pro,16,Medium
ND-2025-000727,mfa code not working,2025-04-21 11:40:00+00:00,in_app,incident,access_permissions,enterprise,20,Urgent
ND-2025-000728,partnership proposal,2025-04-22 13:55:00+00:00,email,service_request,other,free,0,Low
ND-2025-000729,api rate limit exceeded again,2025-04-23 16:05:00+00:00,webchat,incident,integrations,pro,28,High
ND-2025-000730,unsubscribe from marketing emails,2025-04-24 08:25:00+00:00,email,service_request,account_admin,standard,6,Low
ND-2025-000731,app crash on profile screen,2025-04-25 10:50:00+00:00,in_app,incident,bug,pro,13,High
ND-2025-000732,query regarding invoice #4552,2025-04-26 13:15:00+00:00,email,service_request,billing_payments,standard,11,Medium
ND-2025-000733,system is dragging,2025-04-27 15:40:00+00:00,webchat,incident,performance_outage,enterprise,32,High
ND-2025-000734,link to documentation?,2025-04-28 09:10:00+00:00,email,service_request,how_to_training,free,3,Low
ND-2025-000735,filters not clearing,2025-04-29 11:25:00+00:00,in_app,incident,data_reporting,pro,17,Medium
ND-2025-000736,change me to admin,2025-04-29 14:00:00+00:00,email,service_request,access_permissions,standard,9,Low
ND-2025-000737,auth error on salesforce connector,2025-04-30 08:45:00+00:00,webchat,incident,integrations,pro,24,High
ND-2025-000738,status of my refund?,2025-04-30 10:35:00+00:00,email,service_request,billing_payments,standard,14,Medium
ND-2025-000739,footer overlaps text,2025-04-30 12:50:00+00:00,email,incident,bug,free,5,Low
ND-2025-000800,polaris board layout looks completely scrambled after the v2.4 update this morning.,2025-05-01 09:15:22+00:00,email,incident,bug,pro,14,High
ND-2025-000801,where has the export button gone on the new widget interface?,2025-05-01 09:22:10+00:00,webchat,service_request,how_to_training,standard,3,Medium
ND-2025-000802,loading the main dashboard takes over 20 seconds since the update.,2025-05-01 09:45:00+00:00,in_app,incident,performance_outage,enterprise,36,Urgent
ND-2025-000803,cannot save changes to my polaris filters; save button does nothing.,2025-05-01 10:05:33+00:00,email,incident,bug,standard,22,High
ND-2025-000804,the docs for the new connector setup don't match what i see on screen.,2025-05-01 10:12:15+00:00,phone,service_request,how_to_training,free,8,Low
ND-2025-000805,xero sync is failing since the release; field mapping errors on invoices.,2025-05-01 10:30:44+00:00,email,incident,integrations,pro,19,Medium
ND-2025-000806,it's broken.,2025-05-01 11:00:01+00:00,webchat,incident,bug,standard,5,Medium
ND-2025-000807,mobile app crashes immediately when i try to open a polaris board.,2025-05-01 11:15:20+00:00,email,incident,bug,enterprise,40,High
ND-2025-000808,is there a video tutorial for the new v2.4 dashboard layout?,2025-05-01 11:45:55+00:00,email,service_request,how_to_training,standard,1,Low
ND-2025-000809,scroll bar is missing on safari after the update.,2025-05-01 12:05:10+00:00,in_app,incident,bug,pro,12,Medium
ND-2025-000810,widgets are taking forever to render this morning.,2025-05-02 08:50:30+00:00,email,incident,performance_outage,enterprise,60,High
ND-2025-000811,orbit id isn't accepting my google auth credentials.,2025-05-02 09:10:15+00:00,webchat,incident,access_permissions,standard,2,Urgent
ND-2025-000812,how do i revert to the old view? i can't find anything.,2025-05-02 09:35:40+00:00,email,service_request,how_to_training,pro,10,Medium
ND-2025-000813,text overlapping on the billing page.,2025-05-02 10:00:00+00:00,email,incident,bug,free,7,Medium
ND-2025-000814,keep getting 500 errors when generating pdf reports.,2025-05-02 10:45:22+00:00,phone,incident,performance_outage,enterprise,45,Urgent
ND-2025-000815,screen is weird.,2025-05-02 11:20:10+00:00,webchat,service_request,bug,pro,15,Low
ND-2025-000816,my kpi widget is showing zero data after the v2.4 rollout.,2025-05-02 13:05:55+00:00,email,incident,data_reporting,standard,28,High
ND-2025-000817,the link to 'manage connectors' gives a 404.,2025-05-02 14:30:30+00:00,email,incident,bug,standard,6,Medium
ND-2025-000818,need help configuring the new dark mode setting.,2025-05-03 08:15:10+00:00,email,service_request,how_to_training,pro,11,Medium
ND-2025-000819,csv export is empty. this is urgent for my weekly meeting.,2025-05-03 09:40:45+00:00,in_app,incident,bug,enterprise,33,High
ND-2025-000820,fonts look too small on the new interface.,2025-05-03 10:20:00+00:00,webchat,incident,bug,standard,50,Low
ND-2025-000821,need to add a new user to our orbit id setup.,2025-05-03 11:00:30+00:00,email,service_request,account_admin,pro,9,Medium
ND-2025-000822,running reports is timing out; spinner just keeps spinning.,2025-05-04 08:55:12+00:00,email,incident,performance_outage,enterprise,20,High
ND-2025-000823,colors on the charts are wrong.,2025-05-04 09:15:40+00:00,email,incident,bug,standard,4,Medium
ND-2025-000824,i've been charged twice for the new seat add-on.,2025-05-04 10:30:55+00:00,phone,incident,billing_payments,pro,30,Urgent
ND-2025-000825,custom date ranges aren't working in the new version.,2025-05-05 08:45:00+00:00,email,incident,bug,pro,16,High
ND-2025-000826,can you show me an example of the new widget configuration?,2025-05-05 09:10:25+00:00,webchat,service_request,how_to_training,free,2,Medium
ND-2025-000827,our custom api connector stopped working after the update; getting 401s.,2025-05-05 10:00:15+00:00,email,incident,integrations,enterprise,24,High
ND-2025-000828,header logo is misaligned.,2025-05-05 10:45:33+00:00,email,incident,bug,standard,8,Medium
ND-2025-000829,polaris board is lagging significantly when filtering.,2025-05-05 11:20:40+00:00,email,incident,performance_outage,pro,13,High
ND-2025-000830,"new user here, lost with the layout.",2025-05-05 12:30:10+00:00,in_app,service_request,how_to_training,standard,1,Medium
ND-2025-000831,can't see the new charts on the iphone app.,2025-05-06 08:15:55+00:00,email,incident,bug,pro,5,Medium
ND-2025-000832,unrecognized login alert from orbit id.,2025-05-06 09:00:20+00:00,webchat,incident,security_privacy,enterprise,38,Urgent
ND-2025-000833,navigation menu flickers on chrome.,2025-05-06 09:40:00+00:00,email,incident,bug,standard,10,Medium
ND-2025-000834,how do i change the currency symbol on the new widgets?,2025-05-06 10:15:30+00:00,email,service_request,how_to_training,free,3,Low
ND-2025-000835,"system is completely down, 502 error everywhere.",2025-05-06 11:00:45+00:00,phone,incident,performance_outage,pro,25,Urgent
ND-2025-000836,scheduled reports didn't send this morning.,2025-05-06 13:20:15+00:00,email,incident,bug,standard,18,High
ND-2025-000837,pricing for enterprise?,2025-05-07 08:30:50+00:00,webchat,service_request,other,free,0,Medium
ND-2025-000838,the 'save' button is slightly cut off at the bottom of the screen.,2025-05-07 09:05:00+00:00,email,incident,bug,standard,7,Low
ND-2025-000839,widgets spinning indefinitely.,2025-05-07 09:50:22+00:00,email,incident,performance_outage,pro,30,High
ND-2025-000840,best way to organize polaris boards with the new folder structure?,2025-05-07 10:30:10+00:00,in_app,service_request,how_to_training,enterprise,14,Medium
ND-2025-000841,app closes when i tap 'connectors'.,2025-05-07 11:15:35+00:00,email,incident,bug,standard,4,Urgent
ND-2025-000842,formatting is off.,2025-05-07 12:45:00+00:00,email,incident,bug,pro,6,Medium
ND-2025-000843,docs say 'click gear icon' but it's a slider now.,2025-05-08 08:10:45+00:00,webchat,service_request,how_to_training,standard,9,Low
ND-2025-000844,very slow response times when switching between polaris boards.,2025-05-08 09:00:00+00:00,email,incident,performance_outage,enterprise,22,High
ND-2025-000845,locked out of orbit id after 3 failed attempts.,2025-05-08 09:35:20+00:00,phone,incident,access_permissions,pro,12,Urgent
ND-2025-000846,pdf export formatting is messed up since update.,2025-05-08 10:15:15+00:00,email,incident,bug,standard,11,Medium
ND-2025-000847,ui is broken.,2025-05-08 11:00:50+00:00,email,incident,bug,pro,20,Medium
ND-2025-000848,where is the 'dark mode' toggle?,2025-05-08 13:40:30+00:00,webchat,service_request,how_to_training,standard,5,Low
ND-2025-000849,database connection error when refreshing large datasets.,2025-05-09 08:20:10+00:00,email,incident,performance_outage,enterprise,35,High
ND-2025-000850,firefox not displaying the new graphs correctly.,2025-05-09 09:00:55+00:00,email,incident,bug,pro,15,Medium
ND-2025-000851,can viewers see the new edit controls?,2025-05-09 09:45:00+00:00,in_app,service_request,how_to_training,standard,8,Low
ND-2025-000852,buttons overlapping text.,2025-05-09 10:30:25+00:00,email,incident,bug,free,3,Medium
ND-2025-000853,"system is sluggish, barely usable.",2025-05-09 11:10:40+00:00,phone,incident,performance_outage,enterprise,28,Urgent
ND-2025-000854,cannot add new widgets since the update.,2025-05-09 14:00:15+00:00,email,incident,bug,pro,19,High
ND-2025-000855,"my chart isn't loading, is there a troubleshooting guide?",2025-05-10 09:15:30+00:00,webchat,service_request,how_to_training,standard,6,Medium
ND-2025-000856,salesforce webhooks failing since v2.4.,2025-05-10 10:00:00+00:00,email,incident,integrations,enterprise,40,High
ND-2025-000857,strange whitespace on dashboard.,2025-05-10 11:45:10+00:00,email,incident,bug,pro,12,Medium
ND-2025-000858,lag is bad today.,2025-05-11 08:30:45+00:00,email,incident,performance_outage,standard,26,High
ND-2025-000859,font issue.,2025-05-11 09:20:20+00:00,email,incident,bug,free,5,Medium
ND-2025-000860,how do i export to csv in the new layout?,2025-05-11 10:10:55+00:00,webchat,service_request,how_to_training,pro,9,Medium
ND-2025-000861,"mobile app is unusable, keeps freezing.",2025-05-11 11:30:30+00:00,phone,incident,bug,enterprise,32,Urgent
ND-2025-000862,calculated fields are returning errors.,2025-05-12 08:45:15+00:00,email,incident,bug,pro,17,High
ND-2025-000863,stuck on loading screen.,2025-05-12 09:25:40+00:00,email,incident,performance_outage,standard,7,Medium
ND-2025-000864,tips for the new dashboard?,2025-05-12 10:05:05+00:00,in_app,service_request,how_to_training,standard,2,Low
ND-2025-000865,overlap on menu items.,2025-05-12 10:50:00+00:00,email,incident,bug,pro,10,Medium
ND-2025-000866,just testing the chat.,2025-05-12 11:40:25+00:00,webchat,service_request,other,free,0,Low
ND-2025-000867,filter logic seems reversed in the new update.,2025-05-13 08:15:50+00:00,email,incident,data_reporting,enterprise,23,High
ND-2025-000868,help link goes to 404.,2025-05-13 09:00:15+00:00,email,incident,bug,standard,14,Medium
ND-2025-000869,system is crawling. we have a board meeting.,2025-05-13 09:40:35+00:00,phone,incident,performance_outage,pro,31,Urgent
ND-2025-000870,where did 'edit widget' move to?,2025-05-13 10:30:00+00:00,email,service_request,how_to_training,standard,5,Medium
ND-2025-000871,minor alignment issue in settings.,2025-05-13 11:15:20+00:00,email,incident,bug,pro,8,Low
ND-2025-000872,hubspot connector timing out.,2025-05-14 08:50:45+00:00,webchat,incident,integrations,enterprise,16,Medium
ND-2025-000873,colours look washed out.,2025-05-14 09:30:10+00:00,email,incident,bug,standard,4,Medium
ND-2025-000874,getting random errors when saving.,2025-05-14 10:15:30+00:00,email,incident,performance_outage,pro,27,High
ND-2025-000875,need example of new json format.,2025-05-14 11:00:55+00:00,in_app,service_request,how_to_training,free,3,Medium
ND-2025-000876,cannot login to mobile app since update.,2025-05-14 13:45:20+00:00,email,incident,bug,enterprise,21,Urgent
ND-2025-000877,the new sidebar overlaps the chart.,2025-05-15 08:20:45+00:00,email,incident,bug,standard,9,Medium
ND-2025-000878,want to upgrade to enterprise for the new features.,2025-05-15 09:10:00+00:00,phone,service_request,billing_payments,pro,35,Medium
ND-2025-000879,slow loading.,2025-05-15 09:55:25+00:00,email,incident,performance_outage,standard,13,High
ND-2025-000880,how do i delete a widget now?,2025-05-15 10:40:50+00:00,webchat,service_request,how_to_training,free,6,Medium
ND-2025-000881,visual bug in header.,2025-05-15 11:25:15+00:00,email,incident,bug,pro,11,Medium
ND-2025-000882,exported pdf is blank.,2025-05-16 08:35:40+00:00,email,incident,data_reporting,enterprise,29,High
ND-2025-000883,ie11 not working.,2025-05-16 09:15:05+00:00,email,incident,bug,standard,5,Medium
ND-2025-000884,queries taking too long.,2025-05-16 10:00:30+00:00,email,incident,performance_outage,pro,18,High
ND-2025-000885,docs are unclear about the new filters.,2025-05-16 10:45:55+00:00,in_app,service_request,how_to_training,free,4,Low
ND-2025-000886,layout shift on load.,2025-05-16 13:30:20+00:00,email,incident,bug,standard,7,Medium
ND-2025-000887,token expired error on shopify connector.,2025-05-17 09:05:45+00:00,webchat,incident,integrations,enterprise,23,High
ND-2025-000888,android app crashing.,2025-05-17 09:50:10+00:00,email,incident,bug,pro,12,Medium
ND-2025-000889,help setting up first board.,2025-05-17 10:35:35+00:00,email,service_request,how_to_training,standard,1,Medium
ND-2025-000890,dashboard is illegible!,2025-05-17 11:20:00+00:00,phone,incident,bug,enterprise,42,Urgent
ND-2025-000891,slower than usual.,2025-05-18 08:45:25+00:00,email,incident,performance_outage,standard,8,Medium
ND-2025-000892,icon missing.,2025-05-18 09:30:50+00:00,email,incident,bug,pro,5,Medium
ND-2025-000893,how to share a board?,2025-05-18 10:15:15+00:00,webchat,service_request,how_to_training,enterprise,15,Medium
ND-2025-000894,sorting broken in table widget.,2025-05-18 11:00:40+00:00,email,incident,bug,standard,20,High
ND-2025-000895,need vat receipt for may.,2025-05-19 08:25:05+00:00,email,incident,billing_payments,pro,10,Low
ND-2025-000896,glitchy animation.,2025-05-19 09:10:30+00:00,email,incident,bug,free,6,Medium
ND-2025-000897,total blackout. cannot access anything.,2025-05-19 09:55:55+00:00,phone,incident,performance_outage,enterprise,36,Urgent
ND-2025-000898,best way to use the new filters?,2025-05-19 10:40:20+00:00,email,service_request,how_to_training,pro,14,Medium
ND-2025-000899,screen looks wrong.,2025-05-19 11:25:45+00:00,email,incident,bug,standard,9,Low
ND-2025-000900,forgot password.,2025-05-20 08:50:10+00:00,webchat,incident,access_permissions,free,2,Medium
ND-2025-000901,export failing with server error.,2025-05-20 09:35:35+00:00,email,incident,bug,enterprise,25,High
ND-2025-000902,taking a while to load.,2025-05-20 10:20:00+00:00,email,incident,performance_outage,pro,11,Medium
ND-2025-000903,misaligned text.,2025-05-20 11:05:25+00:00,email,incident,bug,standard,4,Medium
ND-2025-000904,how to change theme?,2025-05-20 13:30:50+00:00,in_app,service_request,how_to_training,free,3,Low
ND-2025-000905,crash on startup.,2025-05-21 08:15:15+00:00,email,incident,bug,pro,18,High
ND-2025-000906,hit api rate limit.,2025-05-21 09:00:40+00:00,email,incident,integrations,enterprise,30,Medium
ND-2025-000907,blurry images.,2025-05-21 09:45:05+00:00,webchat,incident,bug,standard,7,Medium
ND-2025-000908,very laggy today.,2025-05-21 10:30:30+00:00,email,incident,performance_outage,pro,13,High
ND-2025-000909,"connector not syncing, need steps.",2025-05-21 11:15:55+00:00,email,service_request,how_to_training,standard,5,Medium
ND-2025-000910,critical regression in reporting.,2025-05-22 08:40:20+00:00,email,incident,bug,enterprise,40,Urgent
ND-2025-000911,footer is gone.,2025-05-22 09:25:45+00:00,email,incident,bug,pro,8,Medium
ND-2025-000912,errors popping up randomly.,2025-05-22 10:10:10+00:00,phone,incident,performance_outage,standard,22,High
ND-2025-000913,how to use the new chart types?,2025-05-22 10:55:35+00:00,webchat,service_request,how_to_training,free,6,Medium
ND-2025-000914,weird spacing.,2025-05-22 13:20:00+00:00,email,incident,bug,pro,10,Medium
ND-2025-000915,gdpr data deletion request.,2025-05-23 08:30:25+00:00,email,incident,security_privacy,standard,15,Medium
ND-2025-000916,mobile view is distorted.,2025-05-23 09:15:50+00:00,email,incident,bug,pro,9,Medium
ND-2025-000917,data retrieval is slow.,2025-05-23 10:00:15+00:00,email,incident,performance_outage,enterprise,25,High
ND-2025-000918,docs link is broken.,2025-05-23 10:45:40+00:00,in_app,service_request,how_to_training,free,3,Low
ND-2025-000919,text is too light.,2025-05-23 11:30:05+00:00,email,incident,bug,standard,12,Medium
ND-2025-000920,fields not mapping correctly in salesforce.,2025-05-24 09:05:30+00:00,webchat,incident,integrations,pro,18,Medium
ND-2025-000921,edge browser issues.,2025-05-24 09:50:55+00:00,email,incident,bug,standard,7,Medium
ND-2025-000922,dashboard stuck loading.,2025-05-24 10:35:20+00:00,email,incident,performance_outage,enterprise,21,High
ND-2025-000923,how to add a new user?,2025-05-24 11:20:45+00:00,phone,service_request,how_to_training,free,5,Low
ND-2025-000924,panel is off-center.,2025-05-25 08:30:10+00:00,email,incident,bug,pro,11,Medium
ND-2025-000925,drill-down feature stopped working.,2025-05-25 09:15:35+00:00,email,incident,bug,enterprise,26,High
ND-2025-000926,slight lag in reports.,2025-05-25 10:00:00+00:00,email,incident,performance_outage,standard,14,Medium
ND-2025-000927,need templates for dashboards.,2025-05-25 10:45:25+00:00,webchat,service_request,how_to_training,free,4,Medium
ND-2025-000928,typo in the menu.,2025-05-25 11:30:50+00:00,email,incident,bug,pro,9,Medium
ND-2025-000929,"lost mfa device, need reset.",2025-05-26 08:40:15+00:00,email,incident,access_permissions,enterprise,30,Urgent
ND-2025-000930,excel export corrupted.,2025-05-26 09:25:40+00:00,email,incident,bug,pro,17,High
ND-2025-000931,system performance is poor.,2025-05-26 10:10:05+00:00,phone,incident,performance_outage,standard,22,High
