case_id,snapshot_at,created_at,channel,case_type,category,subcategory,priority,sla_target_hours,first_response_time_hours,resolution_time_hours,status,resolution_code,escalated,assigned_team,escalation_team,customer_tenure_months,plan_tier,region_uk,age_band,gender,case_summary,sentiment,csat_score,tags
ND-2025-000606,2026-01-01T00:00:00Z,2025-04-02 09:30:00+00:00,email,incident,access_permissions,sso_setup,Urgent,4.0,0.5,3.2,solved,fixed,true,security,,60,enterprise,London,35-44,M,urgent: orbit id sso failing for all staff via okta,Negative,,orbit_id;sso;okta;urgent;login
ND-2025-000607,2026-01-01T00:00:00Z,2025-04-02 11:15:00+00:00,webchat,service_request,how_to_training,best_practice,Low,48.0,26.0,,open,,false,support,,3,standard,East Midlands,25-34,F,best way to visualise churn rate on a widget?,Neutral,,how_to;best_practice;widget;visualization
ND-2025-000608,2026-01-01T00:00:00Z,2025-04-02 15:40:00+00:00,email,service_request,other,sales_inquiry,Low,72.0,45.0,,new,,false,support,,0,free,Wales,45-54,M,interested in upgrading to enterprise for the salesforce connector,Positive,,sales;upgrade;connector;inquiry;enterprise_tier
ND-2025-000609,2026-01-01T00:00:00Z,2025-04-03 09:05:00+00:00,email,incident,performance_outage,latency_spike,Urgent,4.0,1.1,3.9,solved,fixed,false,engineering,,24,pro,South West,35-44,F,dashboards are taking forever to load just spinning,Negative,2,latency;spinner;slow;loading;performance
ND-2025-000610,2026-01-01T00:00:00Z,2025-04-03 10:20:00+00:00,webchat,service_request,access_permissions,password_reset,Medium,24.0,0.2,0.5,solved,answered,false,support,,5,standard,London,25-34,M,locked out of orbit id can you reset?,Neutral,5,orbit_id;password;locked_out;login
ND-2025-000611,2026-01-01T00:00:00Z,2025-04-03 13:45:00+00:00,email,incident,integrations,mapping_error,High,8.0,2.5,,on_hold,,true,engineering,data,19,pro,North East,45-54,F,hubspot connector syncing wrong fields to polaris widgets,Negative,,connector;hubspot;sync;mapping_error;widget
ND-2025-000612,2026-01-01T00:00:00Z,2025-04-03 16:00:00+00:00,in_app,incident,bug,mobile_issue,Medium,24.0,6.0,,open,,false,engineering,,9,standard,East of England,18-24,M,app crashes when i open the finance board on ios,Negative,,bug;mobile;crash;app_crash;ios
ND-2025-000613,2026-01-01T00:00:00Z,2025-04-04 08:30:00+00:00,email,service_request,billing_payments,plan_change_billing,Low,48.0,12.0,26.5,solved,answered,false,billing,,36,pro,Northern Ireland,55-64,F,we need to downgrade from pro to standard next month,Neutral,4,billing;downgrade;subscription;plan_change_billing
ND-2025-000614,2026-01-01T00:00:00Z,2025-04-04 10:10:00+00:00,webchat,incident,data_reporting,missing_data,High,8.0,1.5,5.0,solved,fixed,false,data,,12,enterprise,London,35-44,M,data missing from q1 report widget please check,Negative,,polaris;widget;missing_data;report
ND-2025-000615,2026-01-01T00:00:00Z,2025-04-04 12:55:00+00:00,email,service_request,how_to_training,onboarding_help,Medium,24.0,3.0,22.0,solved,answered,false,support,,1,free,Scotland,25-34,F,new to northstar need help setting up first connector,Positive,5,onboarding;how_to;setup;connector;training
ND-2025-000616,2026-01-01T00:00:00Z,2025-04-04 14:40:00+00:00,email,incident,security_privacy,suspicious_activity,Urgent,2.0,0.3,1.5,solved,fixed,true,security,,50,enterprise,London,45-54,M,alert: suspicious login attempt flagged on admin account,Negative,,security;suspicious_login;admin;orbit_id;urgent
ND-2025-000617,2026-01-01T00:00:00Z,2025-04-05 09:20:00+00:00,webchat,service_request,account_admin,audit_log_request,Low,48.0,20.0,,pending,,false,support,,22,pro,South East,35-44,F,requesting audit logs for user activity last month,Neutral,,admin;audit_log;security;compliance
ND-2025-000618,2026-01-01T00:00:00Z,2025-04-05 11:00:00+00:00,in_app,incident,bug,browser_compatibility,Medium,24.0,5.5,,open,,false,engineering,,7,standard,North West,25-34,M,polaris board layout is broken in safari,Negative,,bug;safari;ui;glitch;browser_compatibility
ND-2025-000619,2026-01-01T00:00:00Z,2025-04-05 13:30:00+00:00,email,service_request,billing_payments,vat_receipt,Low,48.0,40.0,46.0,solved,answered,false,support,,15,pro,West Midlands,45-54,F,where can i find my vat receipts?,Neutral,,billing;vat;invoice;receipt
ND-2025-000620,2026-01-01T00:00:00Z,2025-04-06 08:15:00+00:00,email,incident,integrations,webhook_failure,High,8.0,2.0,7.0,solved,fixed,false,engineering,,28,enterprise,London,35-44,M,webhooks from shopify connector are failing,Negative,4,connector;shopify;webhook;failure;api
ND-2025-000621,2026-01-01T00:00:00Z,2025-04-06 10:45:00+00:00,webchat,service_request,how_to_training,documentation_clarification,Medium,24.0,1.8,4.2,solved,answered,false,support,,4,standard,Yorkshire,25-34,F,docs for api v2 aren't clear on rate limits,Neutral,,docs;api;rate_limit;clarification;training
ND-2025-000622,2026-01-01T00:00:00Z,2025-04-06 14:20:00+00:00,email,incident,performance_outage,database_slow,High,8.0,3.5,,pending,,true,engineering,,40,pro,East Midlands,35-44,M,reports are generating very slowly today,Negative,,slow;performance;database;report;latency
ND-2025-000623,2026-01-01T00:00:00Z,2025-04-07 09:10:00+00:00,in_app,service_request,data_reporting,incorrect_filtering,Medium,24.0,4.0,20.5,solved,fixed,false,data,,10,standard,South West,25-34,F,filter on widget a isn't excluding internal ips,Neutral,4,polaris;widget;filter;incorrect_filtering;data
ND-2025-000624,2026-01-01T00:00:00Z,2025-04-07 11:55:00+00:00,email,service_request,other,wrong_number,Low,48.0,1.0,1.1,solved,cancelled,false,support,,0,free,Wales,55-64,M,is this the pizza place?,Neutral,,other;miscellaneous;spam
ND-2025-000625,2026-01-01T00:00:00Z,2025-04-07 15:00:00+00:00,webchat,incident,access_permissions,mfa_reset,Urgent,4.0,0.8,2.5,solved,fixed,false,support,,55,enterprise,London,45-54,F,lost phone need mfa reset for orbit id immediately,Negative,5,orbit_id;mfa;2fa;reset;urgent
ND-2025-000626,2026-01-01T00:00:00Z,2025-04-08 08:45:00+00:00,email,incident,billing_payments,payment_failed,High,8.0,2.2,5.5,solved,fixed,false,billing,,8,pro,Scotland,35-44,M,card payment failed but we have funds,Negative,,payment;credit_card;failed;billing
ND-2025-000627,2026-01-01T00:00:00Z,2025-04-08 10:30:00+00:00,email,service_request,how_to_training,examples_needed,Medium,24.0,6.0,,open,,false,support,,2,standard,North East,25-34,F,do you have examples of marketing dashboards?,Positive,,how_to;examples;dashboard;best_practice
ND-2025-000628,2026-01-01T00:00:00Z,2025-04-08 13:15:00+00:00,webchat,incident,bug,broken_link,Low,48.0,10.0,30.0,solved,fixed,false,engineering,,16,pro,East of England,18-24,M,link to help center in the footer returns 404,Neutral,5,bug;404;broken_link;help_center
ND-2025-000629,2026-01-01T00:00:00Z,2025-04-08 15:50:00+00:00,email,service_request,account_admin,org_settings,Medium,24.0,5.0,,pending,,false,support,,5,standard,South East,45-54,F,change company name on the account,Neutral,,admin;settings;organization;account_admin
ND-2025-000630,2026-01-01T00:00:00Z,2025-04-09 09:00:00+00:00,in_app,incident,integrations,rate_limit_hit,High,8.0,1.5,4.8,solved,workaround,false,engineering,,42,enterprise,London,35-44,M,hit rate limit on salesforce connector need increase,Negative,,connector;salesforce;rate_limit;api
ND-2025-000631,2026-01-01T00:00:00Z,2025-04-09 11:25:00+00:00,email,service_request,how_to_training,troubleshooting_steps,Medium,24.0,3.5,19.0,solved,answered,false,support,,3,free,West Midlands,25-34,F,my widget is blank what steps to fix?,Neutral,4,how_to;troubleshooting;widget;blank
ND-2025-000632,2026-01-01T00:00:00Z,2025-04-09 14:05:00+00:00,webchat,incident,performance_outage,intermittent_errors,Urgent,4.0,0.6,3.0,solved,fixed,false,engineering,,20,pro,North West,35-44,M,getting random 500 errors when saving polaris board,Negative,3,500_error;intermittent;bug;polaris;save
ND-2025-000633,2026-01-01T00:00:00Z,2025-04-10 08:20:00+00:00,email,service_request,access_permissions,invite_user,Low,48.0,15.0,,open,,false,support,,1,standard,Yorkshire,45-54,F,how to invite a colleague to view only?,Neutral,,invite;user_management;permissions;read_only
ND-2025-000634,2026-01-01T00:00:00Z,2025-04-10 10:50:00+00:00,email,incident,data_reporting,timezone_confusion,Medium,24.0,4.2,21.5,solved,answered,false,data,,13,pro,London,25-34,M,data time seems off is it utc or gmt?,Neutral,5,timezone;data;report;confusion;polaris
ND-2025-000635,2026-01-01T00:00:00Z,2025-04-10 13:40:00+00:00,webchat,service_request,billing_payments,pricing_query,Low,48.0,2.0,5.0,solved,answered,false,billing,,0,free,Scotland,18-24,F,how much is the enterprise tier?,Neutral,,pricing;sales;inquiry;enterprise_tier
ND-2025-000636,2026-01-01T00:00:00Z,2025-04-10 16:15:00+00:00,email,incident,security_privacy,gdpr_request,High,72.0,12.0,,pending,,true,security,legal,30,enterprise,South West,35-44,M,formal gdpr deletion request for user id 4452,Neutral,,gdpr;privacy;deletion;compliance;security
ND-2025-000637,2026-01-01T00:00:00Z,2025-04-11 09:35:00+00:00,in_app,incident,bug,regression_after_update,High,8.0,1.9,,open,,false,engineering,,18,pro,East Midlands,25-34,F,since the update my charts are all squashed,Negative,,bug;regression;ui;chart;update
ND-2025-000638,2026-01-01T00:00:00Z,2025-04-11 11:10:00+00:00,email,service_request,integrations,third_party_outage,Medium,24.0,5.0,20.0,solved,answered,false,engineering,,11,standard,Wales,45-54,M,xero sync isn't working is xero down?,Neutral,,connector;xero;outage;sync;integration
ND-2025-000639,2026-01-01T00:00:00Z,2025-04-11 14:30:00+00:00,webchat,service_request,how_to_training,permissions_explainer,Low,48.0,8.0,,new,,false,support,,4,pro,Northern Ireland,35-44,F,explain difference between editor and admin roles,Neutral,,permissions;roles;admin;editor;how_to
ND-2025-000640,2026-01-01T00:00:00Z,2025-04-12 10:00:00+00:00,email,incident,billing_payments,duplicate_charge,High,8.0,1.5,4.0,solved,fixed,false,billing,,25,pro,London,25-34,M,we were charged twice for april subscription,Negative,1,duplicate_charge;billing;refund;payment
ND-2025-000641,2026-01-01T00:00:00Z,2025-04-12 12:45:00+00:00,email,service_request,other,partnership_request,Low,120.0,50.0,,open,,false,support,,0,free,South East,35-44,F,partnership opportunity with our consultancy,Positive,,partnership;sales;inquiry;other
ND-2025-000642,2026-01-01T00:00:00Z,2025-04-13 09:15:00+00:00,in_app,incident,access_permissions,account_locked,Urgent,4.0,0.4,1.8,solved,fixed,false,support,,7,standard,North West,25-34,M,account locked after too many attempts help,Negative,5,locked_out;orbit_id;login;security
ND-2025-000643,2026-01-01T00:00:00Z,2025-04-13 14:25:00+00:00,webchat,incident,performance_outage,degraded_performance,Medium,24.0,2.5,15.0,solved,fixed,false,engineering,,33,enterprise,Yorkshire,45-54,F,system feels sluggish this afternoon,Negative,,slow;latency;performance;degraded
ND-2025-000644,2026-01-01T00:00:00Z,2025-04-14 08:50:00+00:00,email,service_request,data_reporting,report_permissions,Medium,24.0,5.5,,pending,,false,data,,14,pro,East of England,35-44,M,my colleague can't see the hr polaris board,Neutral,,polaris;permissions;report;view_access
ND-2025-000645,2026-01-01T00:00:00Z,2025-04-14 11:35:00+00:00,email,incident,bug,export_bug,High,8.0,1.8,,open,,false,engineering,,21,standard,London,25-34,F,csv export is empty for the last week,Negative,,bug;export;csv;empty;data
ND-2025-000646,2026-01-01T00:00:00Z,2025-04-14 15:00:00+00:00,phone,service_request,billing_payments,seat_limit,Medium,24.0,4.0,10.0,solved,answered,false,billing,,9,pro,West Midlands,45-54,M,can't add user says seat limit reached,Neutral,4,seat_limit;billing;user_management;upgrade
ND-2025-000647,2026-01-01T00:00:00Z,2025-04-15 09:05:00+00:00,email,incident,integrations,timeout_error,High,8.0,2.1,6.8,solved,fixed,false,engineering,,45,enterprise,Scotland,35-44,M,salesforce connector timing out on large syncs,Negative,,connector;salesforce;timeout;sync;error
ND-2025-000648,2026-01-01T00:00:00Z,2025-04-15 10:40:00+00:00,webchat,service_request,how_to_training,video_tutorial,Low,48.0,12.0,,new,,false,support,,2,free,South West,18-24,F,are there video tutorials for advanced widgets?,Neutral,,how_to;video_tutorial;training;widget
ND-2025-000649,2026-01-01T00:00:00Z,2025-04-15 13:10:00+00:00,email,incident,security_privacy,vulnerability_disclosure,Urgent,4.0,0.5,,pending,,true,security,engineering,6,standard,London,25-34,M,found a potential xss vulnerability in the profile page,Negative,,vulnerability;security;xss;bug;urgent
ND-2025-000650,2026-01-01T00:00:00Z,2025-04-16 08:30:00+00:00,email,service_request,account_admin,notification_settings,Low,48.0,22.0,30.0,solved,answered,false,support,,12,pro,North East,45-54,F,too many emails how do i turn them off?,Neutral,5,notifications;email_prefs;settings;admin
ND-2025-000651,2026-01-01T00:00:00Z,2025-04-16 11:00:00+00:00,webchat,incident,bug,app_crash,High,8.0,1.6,5.2,solved,fixed,false,engineering,,26,pro,East Midlands,35-44,M,mobile app crashes on login every time,Negative,2,bug;mobile;crash;login;app
ND-2025-000652,2026-01-01T00:00:00Z,2025-04-16 14:45:00+00:00,in_app,service_request,data_reporting,delayed_refresh,Medium,24.0,6.5,,open,,false,data,,5,standard,Wales,25-34,F,data on the dashboard is 2 hours old why?,Neutral,,delayed_refresh;data;dashboard;polaris
ND-2025-000653,2026-01-01T00:00:00Z,2025-04-17 09:25:00+00:00,email,incident,integrations,json_error,High,8.0,2.3,7.5,solved,fixed,false,engineering,,17,pro,London,35-44,M,json parsing error on custom api connector,Negative,,connector;api;json;error;integration
ND-2025-000654,2026-01-01T00:00:00Z,2025-04-17 12:15:00+00:00,webchat,service_request,how_to_training,feature_how_to,Medium,24.0,3.2,18.0,solved,answered,false,support,,3,standard,South East,25-34,F,how to create a stacked bar chart widget?,Neutral,5,how_to;widget;visualization;configuration
ND-2025-000655,2026-01-01T00:00:00Z,2025-04-17 15:30:00+00:00,email,incident,billing_payments,refund_request,Medium,24.0,5.8,,pending,,false,billing,,38,pro,North West,45-54,M,requesting refund for the downtime last week,Negative,,refund;billing;downtime;credit
ND-2025-000656,2026-01-01T00:00:00Z,2025-04-18 08:40:00+00:00,email,service_request,access_permissions,role_assignment,Low,48.0,18.0,42.5,solved,answered,false,support,,8,standard,Yorkshire,35-44,F,need to change user role from viewer to editor,Neutral,,role_assignment;permissions;admin;user_management
ND-2025-000657,2026-01-01T00:00:00Z,2025-04-18 10:55:00+00:00,in_app,incident,performance_outage,login_service_down,Urgent,4.0,0.2,1.2,solved,fixed,true,engineering,security,50,enterprise,London,25-34,M,nobody can log in via orbit id right now,Negative,,login;down;outage;orbit_id;critical
ND-2025-000658,2026-01-01T00:00:00Z,2025-04-18 13:20:00+00:00,email,service_request,data_reporting,currency_issue,Medium,24.0,4.5,,open,,false,data,,14,pro,West Midlands,35-44,F,currency showing as usd instead of gbp on widget,Neutral,,currency;widget;polaris;configuration
ND-2025-000659,2026-01-01T00:00:00Z,2025-04-19 09:50:00+00:00,webchat,incident,bug,screen_freeze,Medium,24.0,5.2,21.0,solved,fixed,false,engineering,,6,standard,Scotland,18-24,M,screen freezes when i click the export button,Negative,3,bug;freeze;export;ui;glitch
ND-2025-000660,2026-01-01T00:00:00Z,2025-04-19 12:05:00+00:00,email,service_request,other,test_ticket,Low,48.0,1.5,1.6,solved,cancelled,false,support,,0,free,London,25-34,F,test ignore please,Neutral,,test;ignore;other;miscellaneous
ND-2025-000661,2026-01-01T00:00:00Z,2025-04-19 14:40:00+00:00,email,incident,billing_payments,invoice_error,High,8.0,2.8,6.0,solved,fixed,false,billing,,22,pro,South West,45-54,M,invoice address is incorrect need urgent fix,Negative,,invoice;billing;address;error
ND-2025-000662,2026-01-01T00:00:00Z,2025-04-20 08:10:00+00:00,webchat,service_request,how_to_training,configuration,Medium,24.0,3.8,,open,,false,support,,4,standard,East of England,25-34,F,where do i configure the xero connector settings?,Neutral,,how_to;configuration;xero;connector;setup
ND-2025-000663,2026-01-01T00:00:00Z,2025-04-20 10:35:00+00:00,email,incident,integrations,oauth_token_issue,High,8.0,1.7,5.5,solved,fixed,false,engineering,,31,enterprise,London,35-44,M,oauth token keeps expiring for hubspot,Negative,4,connector;hubspot;oauth;token;error
ND-2025-000664,2026-01-01T00:00:00Z,2025-04-20 13:00:00+00:00,in_app,service_request,account_admin,data_retention,Low,48.0,24.5,,pending,,false,support,,10,pro,Northern Ireland,45-54,F,what is the data retention policy for backups?,Neutral,,retention;data;policy;backup;admin
ND-2025-000665,2026-01-01T00:00:00Z,2025-04-21 09:00:00+00:00,email,incident,performance_outage,full_outage,Urgent,4.0,0.4,2.0,solved,fixed,true,engineering,security,60,enterprise,London,35-44,M,northstar is completely down 503 error,Negative,,outage;down;503;critical;status_page
ND-2025-000666,2026-01-01T00:00:00Z,2025-04-21 11:15:00+00:00,webchat,service_request,access_permissions,domain_verification,Medium,24.0,2.2,16.5,solved,answered,false,support,,9,standard,South East,25-34,F,trying to verify domain for sso but failing,Neutral,5,domain;sso;verification;orbit_id;setup
ND-2025-000667,2026-01-01T00:00:00Z,2025-04-21 14:30:00+00:00,email,incident,bug,ui_glitch,Low,48.0,12.5,,open,,false,engineering,,15,pro,North East,18-24,M,typos in the new settings menu,Neutral,,bug;ui;typo;text;glitch
ND-2025-000668,2026-01-01T00:00:00Z,2025-04-21 16:00:00+00:00,email,service_request,data_reporting,chart_visualization,Medium,24.0,5.0,22.0,solved,answered,false,data,,18,pro,Wales,35-44,F,can i change the color scheme of the polaris board?,Neutral,4,polaris;visualization;color;chart;customization
ND-2025-000669,2026-01-01T00:00:00Z,2025-04-22 08:55:00+00:00,in_app,incident,integrations,sync_failure,High,8.0,1.9,,pending,,false,engineering,,27,enterprise,London,45-54,M,sync failed 3 times in a row for salesforce,Negative,,sync;failure;salesforce;connector;error
ND-2025-000670,2026-01-01T00:00:00Z,2025-04-22 10:20:00+00:00,webchat,service_request,how_to_training,onboarding_help,Medium,24.0,4.5,19.2,solved,answered,false,support,,2,free,Yorkshire,25-34,F,help setting up my first polaris board,Positive,5,onboarding;setup;polaris;dashboard;help
ND-2025-000671,2026-01-01T00:00:00Z,2025-04-22 13:40:00+00:00,email,incident,billing_payments,payment_failed,High,8.0,3.1,6.8,solved,fixed,false,billing,,13,pro,East Midlands,35-44,M,payment declined check details please,Negative,,payment;declined;billing;credit_card
ND-2025-000672,2026-01-01T00:00:00Z,2025-04-22 15:10:00+00:00,email,service_request,security_privacy,mfa_policy,Medium,24.0,6.2,,open,,false,security,,24,pro,South West,45-54,F,can we enforce mfa for all users?,Neutral,,mfa;security;policy;admin;enforce
ND-2025-000673,2026-01-01T00:00:00Z,2025-04-23 09:15:00+00:00,phone,incident,bug,mobile_issue,Medium,24.0,4.0,15.5,solved,fixed,false,engineering,,11,standard,London,25-34,M,mobile app is stuck on loading screen,Negative,,mobile;app;loading;bug;freeze
ND-2025-000674,2026-01-01T00:00:00Z,2025-04-23 11:30:00+00:00,email,service_request,data_reporting,export_issue,High,8.0,1.2,4.5,solved,workaround,false,data,,40,enterprise,North West,35-44,F,large csv export failing consistently,Negative,3,export;csv;fail;data;large_file
ND-2025-000675,2026-01-01T00:00:00Z,2025-04-23 14:00:00+00:00,webchat,service_request,how_to_training,best_practice,Low,48.0,10.5,,new,,false,support,,5,standard,Scotland,25-34,M,tips for speeding up dashboard performance?,Neutral,,best_practice;performance;speed;dashboard;optimization
ND-2025-000676,2026-01-01T00:00:00Z,2025-04-23 16:20:00+00:00,email,incident,integrations,api_auth_error,High,8.0,2.5,7.2,solved,fixed,false,engineering,,20,pro,South East,35-44,F,api responding with 403 forbidden,Negative,,api;403;error;auth;connector
ND-2025-000677,2026-01-01T00:00:00Z,2025-04-24 08:45:00+00:00,email,service_request,account_admin,user_add_remove,Low,48.0,18.5,35.0,solved,answered,false,support,,7,standard,West Midlands,45-54,M,remove user david.j from the account,Neutral,,user_management;admin;remove;account
ND-2025-000678,2026-01-01T00:00:00Z,2025-04-24 10:55:00+00:00,in_app,incident,performance_outage,latency_spike,High,8.0,3.0,,pending,,false,engineering,,35,pro,London,25-34,F,very slow response times this morning,Negative,,slow;latency;performance;lag
ND-2025-000679,2026-01-01T00:00:00Z,2025-04-24 13:30:00+00:00,email,service_request,billing_payments,vat_receipt,Low,48.0,20.0,,open,,false,billing,,12,pro,East of England,35-44,M,missing vat receipt for feb invoice,Neutral,,vat;receipt;invoice;billing;missing
ND-2025-000680,2026-01-01T00:00:00Z,2025-04-24 15:15:00+00:00,webchat,incident,bug,browser_compatibility,Medium,24.0,5.5,18.5,solved,fixed,false,support,,3,free,Wales,18-24,F,firefox not displaying the widget borders correctly,Neutral,4,bug;firefox;ui;glitch;browser
ND-2025-000681,2026-01-01T00:00:00Z,2025-04-25 09:10:00+00:00,email,service_request,access_permissions,sso_setup,High,8.0,2.0,6.0,solved,answered,false,security,,48,enterprise,London,45-54,M,assistance required for azure ad sso integration,Neutral,,sso;azure;setup;integration;orbit_id
ND-2025-000682,2026-01-01T00:00:00Z,2025-04-25 11:40:00+00:00,email,incident,data_reporting,missing_data,High,8.0,1.8,5.2,solved,fixed,false,data,,16,pro,North East,35-44,F,data gap in the sales report for yesterday,Negative,,missing_data;report;gap;sales;polaris
ND-2025-000683,2026-01-01T00:00:00Z,2025-04-25 14:05:00+00:00,webchat,service_request,other,sales_inquiry,Low,48.0,1.0,1.2,solved,answered,false,support,,0,free,South West,25-34,M,do you offer discounts for non-profits?,Positive,,sales;discount;non_profit;inquiry
ND-2025-000684,2026-01-01T00:00:00Z,2025-04-26 08:20:00+00:00,email,incident,integrations,webhook_failure,High,8.0,2.4,,on_hold,,true,engineering,data,22,pro,London,35-44,M,webhook endpoints returning 500 errors,Negative,,webhook;500_error;api;connector;failure
ND-2025-000685,2026-01-01T00:00:00Z,2025-04-26 10:30:00+00:00,in_app,service_request,how_to_training,permissions_explainer,Low,48.0,15.0,,open,,false,support,,6,standard,Yorkshire,25-34,F,can viewers export data?,Neutral,,permissions;export;viewer;role;question
ND-2025-000686,2026-01-01T00:00:00Z,2025-04-26 12:50:00+00:00,email,incident,bug,ui_glitch,Medium,24.0,6.0,20.0,solved,fixed,false,engineering,,10,standard,North West,45-54,M,menu bar overlaps the content on small screens,Negative,4,bug;ui;responsive;overlap;glitch
ND-2025-000687,2026-01-01T00:00:00Z,2025-04-26 15:00:00+00:00,phone,service_request,billing_payments,plan_change_billing,Medium,24.0,3.5,8.0,solved,answered,false,billing,,14,pro,Scotland,35-44,F,upgrade to enterprise quote please,Positive,,upgrade;enterprise_tier;quote;billing;sales
ND-2025-000688,2026-01-01T00:00:00Z,2025-04-27 09:35:00+00:00,email,incident,security_privacy,session_timeout,Medium,24.0,5.5,,pending,,false,security,,9,standard,London,25-34,M,session times out too quickly keeps logging me out,Negative,,session;timeout;logout;security;usability
ND-2025-000689,2026-01-01T00:00:00Z,2025-04-27 11:45:00+00:00,webchat,service_request,account_admin,account_closure,Low,72.0,24.0,,open,,false,support,,2,free,East Midlands,18-24,F,delete my account please,Neutral,,closure;account;delete;gdpr;admin
ND-2025-000690,2026-01-01T00:00:00Z,2025-04-27 14:10:00+00:00,email,incident,performance_outage,database_slow,Urgent,4.0,1.0,3.5,solved,fixed,false,engineering,,30,enterprise,South East,35-44,M,database query timeout on main dashboard,Negative,3,timeout;database;slow;performance;critical
ND-2025-000691,2026-01-01T00:00:00Z,2025-04-28 08:50:00+00:00,email,service_request,integrations,mapping_error,Medium,24.0,4.2,18.0,solved,fixed,false,data,,12,standard,Wales,25-34,F,field mapping is wrong for the custom connector,Neutral,,mapping;connector;error;field;configuration
ND-2025-000692,2026-01-01T00:00:00Z,2025-04-28 10:25:00+00:00,in_app,service_request,how_to_training,examples_needed,Low,48.0,12.5,,new,,false,support,,4,free,West Midlands,35-44,M,any templates for saas kpis?,Positive,,templates;kpi;dashboard;examples;how_to
ND-2025-000693,2026-01-01T00:00:00Z,2025-04-28 12:40:00+00:00,email,incident,bug,broken_link,Low,48.0,16.0,,open,,false,engineering,,8,standard,Northern Ireland,25-34,F,404 page when clicking on the old report link,Neutral,,404;broken_link;bug;report;error
ND-2025-000694,2026-01-01T00:00:00Z,2025-04-28 15:00:00+00:00,webchat,service_request,access_permissions,password_reset,Medium,24.0,0.3,0.6,solved,answered,false,support,,1,standard,London,18-24,M,forgot password reset link not arriving,Negative,5,password;reset;email;login;issue
ND-2025-000695,2026-01-01T00:00:00Z,2025-04-29 09:05:00+00:00,email,incident,billing_payments,duplicate_charge,High,8.0,2.0,5.0,solved,fixed,false,billing,,20,pro,North West,45-54,F,double charged for the pro plan please refund,Negative,4,duplicate_charge;refund;billing;error;payment
ND-2025-000696,2026-01-01T00:00:00Z,2025-04-29 11:15:00+00:00,email,service_request,data_reporting,filter_issue,Medium,24.0,5.0,,pending,,false,data,,15,pro,South West,35-44,M,date filter isn't applying to all widgets,Neutral,,filter;widget;date;polaris;bug
ND-2025-000697,2026-01-01T00:00:00Z,2025-04-29 13:50:00+00:00,in_app,incident,integrations,third_party_outage,Medium,24.0,3.0,12.0,solved,answered,false,engineering,,25,enterprise,London,25-34,F,salesforce is down is that affecting northstar?,Neutral,,outage;salesforce;connector;impact;question
ND-2025-000698,2026-01-01T00:00:00Z,2025-04-29 16:10:00+00:00,email,service_request,how_to_training,video_tutorial,Low,48.0,20.0,,new,,false,support,,3,standard,East of England,45-54,M,video guide for connector setup?,Neutral,,video_tutorial;connector;setup;guide;training
ND-2025-000699,2026-01-01T00:00:00Z,2025-04-30 08:30:00+00:00,webchat,incident,security_privacy,suspicious_activity,Urgent,2.0,0.2,1.0,solved,fixed,true,security,,40,enterprise,London,35-44,F,unknown ip accessed admin account,Negative,,suspicious_login;security;admin;ip;urgent
ND-2025-000700,2026-01-01T00:00:00Z,2025-04-30 10:00:00+00:00,email,service_request,billing_payments,invoice_error,Medium,24.0,4.5,,open,,false,billing,,10,pro,Scotland,25-34,M,invoice amount is wrong for this month,Negative,,invoice;error;amount;billing;query
ND-2025-000701,2026-01-01T00:00:00Z,2025-04-30 11:45:00+00:00,in_app,incident,bug,mobile_issue,High,8.0,2.1,6.2,solved,fixed,false,engineering,,19,pro,North East,18-24,F,mobile view is completely broken,Negative,3,bug;mobile;ui;broken;app
ND-2025-000702,2026-01-01T00:00:00Z,2025-04-30 13:20:00+00:00,email,service_request,access_permissions,invite_user,Low,48.0,10.0,25.0,solved,answered,false,support,,5,standard,Yorkshire,35-44,M,inviting new user but email never arrives,Neutral,,invite;email;user_management;issue;support
ND-2025-000703,2026-01-01T00:00:00Z,2025-04-30 15:00:00+00:00,webchat,incident,performance_outage,loading_issue,Medium,24.0,3.0,,pending,,false,engineering,,28,pro,South East,45-54,F,widgets stuck on loading spinner,Negative,,spinner;loading;stuck;widget;performance
ND-2025-000704,2026-01-01T00:00:00Z,2025-04-01 10:15:00+00:00,email,service_request,how_to_training,best_practice,Low,48.0,18.0,36.5,solved,answered,false,support,,6,standard,London,25-34,M,best way to group widgets?,Neutral,5,best_practice;widget;group;dashboard;how_to
ND-2025-000705,2026-01-01T00:00:00Z,2025-04-01 14:45:00+00:00,webchat,incident,integrations,api_auth_error,High,8.0,1.5,,open,,false,engineering,,30,enterprise,North West,35-44,F,api key rejected,Negative,,api;key;auth;error;connector
ND-2025-000706,2026-01-01T00:00:00Z,2025-04-02 09:25:00+00:00,in_app,service_request,account_admin,audit_log_request,Medium,24.0,5.0,21.0,solved,answered,false,support,,15,pro,South West,45-54,M,need audit trail for login events,Neutral,,audit_log;login;security;admin;request
ND-2025-000707,2026-01-01T00:00:00Z,2025-04-02 13:00:00+00:00,email,incident,bug,regression_after_update,High,8.0,2.5,7.0,solved,fixed,false,engineering,,22,standard,East Midlands,25-34,F,update broke my custom css,Negative,,bug;regression;css;custom;update
ND-2025-000708,2026-01-01T00:00:00Z,2025-04-03 08:35:00+00:00,webchat,service_request,billing_payments,plan_change_billing,Low,48.0,12.0,,pending,,false,billing,,8,free,Wales,18-24,M,upgrade to pro plan,Positive,,upgrade;pro_tier;billing;plan_change;sales
